Date_Time	Primary Gas Concentration	Primary Gas Concentration Estado	PGA Gain	PGA Gain Estado	SO2 Reference Gain Pot	SO2 Reference Gain Pot Estado	SO2 Signal Gain Pot	SO2 Signal Gain Pot Estado	Instrument Gain	Instrument Gain Estado	Lamp Current	Lamp Current Estado	High Voltage	High Voltage Estado	Gas Pressure	Gas Pressure Estado	Chassis Temperature	Chassis Temperature Estado	Instrument Status	Instrument Status Estado	Instrument State	Instrument State Estado	Instrument Units	Instrument Units Estado	
15/02/2018	00:54:00	50	4.2711658	49	128	44	81	45	123	56	18.334488	64	35.05249	67	710.83447	72	479.89008	77	38	83	0	110	1	116	4
15/02/2018	00:55:00	50	5.1331396	49	128	44	81	45	123	56	18.334488	64	34.939575	67	710.83447	72	479.86908	77	38.03125	83	0	110	1	116	4
15/02/2018	00:56:00	50	5.3622551	49	128	44	81	45	123	56	18.334488	64	35.08606	67	710.83447	72	479.86011	77	38.03125	83	0	110	1	116	4
15/02/2018	00:57:00	50	5.3075953	49	128	44	81	45	123	56	18.334488	64	34.942627	67	710.83447	72	479.85913	77	38.0625	83	0	110	1	116	4
15/02/2018	00:58:00	50	4.4970446	49	128	44	81	45	123	56	18.334488	64	35.095215	67	710.83447	72	479.87225	77	38.09375	83	0	110	1	116	4
15/02/2018	00:59:00	50	4.4897213	49	128	44	81	45	123	56	18.334488	64	35.153198	67	710.83447	72	479.88342	77	38.09375	83	0	110	1	116	4
15/02/2018	01:00:00	50	4.333993	49	128	44	81	45	123	56	18.334488	64	34.973145	67	710.83447	72	479.8988	77	38.125	83	0	110	1	116	4
15/02/2018	01:01:00	50	4.2531948	49	128	44	81	45	123	56	18.334488	64	34.9823	67	710.83447	72	479.93866	77	38.125	83	0	110	1	116	4
15/02/2018	01:02:00	50	2.7810416	49	128	44	81	45	123	56	18.334488	64	35.162354	67	710.83447	72	479.92963	77	38.1875	83	0	110	1	116	4
15/02/2018	01:03:00	50	2.6563902	49	128	44	81	45	123	56	18.334488	64	35.046387	67	710.83447	72	479.94318	77	38.1875	83	0	110	1	116	4
15/02/2018	01:04:00	50	3.0320792	49	128	44	81	45	123	56	18.334488	64	35.165405	67	710.83447	72	479.92798	77	38.21875	83	0	110	1	116	4
15/02/2018	01:05:00	50	2.9785738	49	128	44	81	45	123	56	18.334488	64	35.031128	67	710.83447	72	479.94971	77	38.21875	83	0	110	1	116	4
15/02/2018	01:06:00	50	3.4806824	49	128	44	81	45	123	56	18.334488	64	34.945679	67	710.83447	72	479.94672	77	38.25	83	0	110	1	116	4
15/02/2018	01:07:00	50	2.9736648	49	128	44	81	45	123	56	18.334488	64	35.131836	67	710.83447	72	479.93732	77	38.25	83	0	110	1	116	4
15/02/2018	01:08:00	50	3.416728	49	128	44	81	45	123	56	18.334488	64	35.095215	67	710.83447	72	479.95276	77	38.28125	83	0	110	1	116	4
15/02/2018	01:09:00	50	3.6921148	49	128	44	81	45	123	56	18.334488	64	34.936523	67	710.83447	72	479.93756	77	38.28125	83	0	110	1	116	4
15/02/2018	01:10:00	50	3.0842142	49	128	44	81	45	123	56	18.334488	64	35.058594	67	710.83447	72	479.98254	77	38.34375	83	0	110	1	116	4
15/02/2018	01:11:00	50	3.1129584	49	128	44	81	45	123	56	18.334488	64	35.15625	67	710.83447	72	479.98944	77	38.3125	83	0	110	1	116	4
15/02/2018	01:12:00	50	2.7821941	49	128	44	81	45	123	56	18.334488	64	34.994507	67	710.83447	72	479.96149	77	38.3125	83	0	110	1	116	4
15/02/2018	01:13:00	50	2.7467961	49	128	44	81	45	123	56	18.334488	64	34.973145	67	710.83447	72	480.00592	77	38.375	83	0	110	1	116	4
15/02/2018	01:14:00	50	2.5107713	49	128	44	81	45	123	56	18.334488	64	35.150146	67	710.83447	72	480.02625	77	38.40625	83	0	110	1	116	4
15/02/2018	01:15:00	50	2.4090705	49	128	44	81	45	123	56	18.334488	64	35.092163	67	710.83447	72	479.98602	77	38.375	83	0	110	1	116	4
15/02/2018	01:16:00	50	2.5957613	49	128	44	81	45	123	56	18.334488	64	34.93042	67	710.83447	72	479.9577	77	38.4375	83	0	110	1	116	4
15/02/2018	01:17:00	50	2.7999673	49	128	44	81	45	123	56	18.334488	64	35.046387	67	710.83447	72	479.97687	77	38.40625	83	0	110	1	116	4
15/02/2018	01:18:00	50	2.4493618	49	128	44	81	45	123	56	18.334488	64	35.165405	67	710.83447	72	479.96869	77	38.46875	83	0	110	1	116	4
15/02/2018	01:19:00	50	2.6294675	49	128	44	81	45	123	56	18.334488	64	35.015869	67	710.83447	72	480.01672	77	38.46875	83	0	110	1	116	4
15/02/2018	01:20:00	50	2.8474588	49	128	44	81	45	123	56	18.334488	64	34.954834	67	710.83447	72	480.04541	77	38.46875	83	0	110	1	116	4
15/02/2018	01:21:00	50	2.8844476	49	128	44	81	45	123	56	18.334488	64	35.140991	67	710.83447	72	480.08331	77	38.53125	83	0	110	1	116	4
15/02/2018	01:22:00	50	3.1266031	49	128	44	81	45	123	56	18.334488	64	35.092163	67	710.83447	72	480.06989	77	38.53125	83	0	110	1	116	4
15/02/2018	01:23:00	50	3.0931296	49	128	44	81	45	123	56	18.334488	64	34.933472	67	710.83447	72	480.03253	77	38.5625	83	0	110	1	116	4
15/02/2018	01:24:00	50	2.7963123	49	128	44	81	45	123	56	18.334488	64	35.049438	67	710.83447	72	479.99817	77	38.5625	83	0	110	1	116	4
15/02/2018	01:25:00	50	3.2338419	49	128	44	81	45	123	56	18.334488	64	35.15625	67	710.83447	72	480.03741	77	38.5625	83	0	110	1	116	4
15/02/2018	01:26:00	50	3.3648562	49	128	44	81	45	123	56	18.334488	64	34.9823	67	710.83447	72	480.0033	77	38.5625	83	0	110	1	116	4
15/02/2018	01:27:00	50	3.4209118	49	128	44	81	45	123	56	18.334488	64	34.970093	67	710.83447	72	480.02502	77	38.59375	83	0	110	1	116	4
15/02/2018	01:28:00	50	4.0307646	49	128	44	81	45	123	56	18.334488	64	35.153198	67	710.83447	72	480.02142	77	38.59375	83	0	110	1	116	4
15/02/2018	01:29:00	50	3.0131445	49	128	44	81	45	123	56	18.334488	64	35.031128	67	710.83447	72	480.04065	77	38.625	83	0	110	1	116	4
15/02/2018	01:30:00	50	3.2014604	49	128	44	81	45	123	56	18.334488	64	35.049438	67	710.83447	72	480.03607	77	38.78125	83	0	110	1	116	4
15/02/2018	01:31:00	50	3.8240685	49	128	44	81	45	123	56	18.334488	64	35.049438	67	710.83447	72	480.02747	77	38.71875	83	0	110	1	116	4
15/02/2018	01:32:00	50	3.8698182	49	128	44	81	45	123	56	18.334488	64	35.028076	67	710.83447	72	480.09949	77	38.6875	83	0	110	1	116	4
15/02/2018	01:33:00	50	4.6696215	49	128	44	81	45	123	56	18.334488	64	35.040283	67	710.83447	72	480.10553	77	38.6875	83	0	110	1	116	4
15/02/2018	01:34:00	50	4.4113779	49	128	44	81	45	123	56	18.334488	64	35.055542	67	710.83447	72	480.08661	77	38.71875	83	0	110	1	116	4
15/02/2018	01:35:00	50	4.4285955	49	128	44	81	45	123	56	18.334488	64	35.040283	67	710.83447	72	480.04718	77	38.78125	83	0	110	1	116	4
15/02/2018	01:36:00	50	3.9548287	49	128	44	81	45	123	56	18.334488	64	35.031128	67	710.83447	72	480.08325	77	38.75	83	0	110	1	116	4
15/02/2018	01:37:00	50	4.4482269	49	128	44	81	45	123	56	18.334488	64	35.049438	67	710.83447	72	480.07135	77	38.78125	83	0	110	1	116	4
15/02/2018	01:38:00	50	3.9899082	49	128	44	81	45	123	56	18.334488	64	35.049438	67	710.83447	72	480.04492	77	38.78125	83	0	110	1	116	4
15/02/2018	01:39:00	50	3.3184595	49	128	44	81	45	123	56	18.334488	64	35.028076	67	710.83447	72	480.00586	77	38.8125	83	0	110	1	116	4
15/02/2018	01:40:00	50	3.1339669	49	128	44	81	45	123	56	18.334488	64	35.043335	67	710.83447	72	480.00311	77	38.75	83	0	110	1	116	4
15/02/2018	01:41:00	50	2.6363993	49	128	44	81	45	123	56	18.334488	64	35.05249	67	710.83447	72	479.9541	77	38.875	83	0	110	1	116	4
15/02/2018	01:42:00	50	3.255753	49	128	44	81	45	123	56	18.334488	64	35.031128	67	710.83447	72	479.99219	77	38.84375	83	0	110	1	116	4
15/02/2018	01:43:00	50	2.8532591	49	128	44	81	45	123	56	18.334488	64	35.037231	67	710.83447	72	479.98901	77	39.0625	83	0	110	1	116	4
15/02/2018	01:44:00	50	2.9093027	49	128	44	81	45	123	56	18.334488	64	35.058594	67	710.83447	72	479.99908	77	38.9375	83	0	110	1	116	4
